Rep,pH,Nutrients,Shoot_length,Sht_g_DW,Rhi_Elong_cm,Rhi_mass_g_DW
20,6.99,Nutrients added,47.2,0.3143,2.2,0.2506
21,6.99,Nutrients added,37.4,0.2508,1.1,0.2353
22,6.99,Nutrients added,52,0.3569,1.4,0.3344
23,6.99,Nutrients added,52.4,0.3953,1.3,0.2531
24,6.99,Nutrients added,24.7,0.1281,0.3,0.3222
25,6.99,Nutrients added,24.6,0.0878,-0.6,0.2541
25a,6.99,Nutrients added,17.6,0.0738,na,na
25b,6.99,Nutrients added,18.6,0.0799,na,na
1,7.14,Nutrients added,56.1,0.4003,4.2,0.4279
2,7.14,Nutrients added,46.2,0.2464,3.2,0.3308
3,7.14,Nutrients added,49.7,0.2955,4,0.3253
4,7.14,Nutrients added,30.4,0.2743,3.1,0.2668
5,7.14,Nutrients added,48.3,0.3919,4.7,0.3662
6,7.14,Nutrients added,60.1,0.3419,6,0.4587
7,7.14,Nutrients added,48.5,0.2441,2.8,0.3202
8,7.14,Nutrients added,20.1,0.2641,2.8,0.2886
9,7.14,Nutrients added,49.4,0.3662,0.7,0.1777
10,7.14,Nutrients added,33.2,0.2554,0.2,0.1608
11,7.14,Nutrients added,48.4,0.2823,3.9,0.4591
12,7.14,Nutrients added,46.8,0.2571,3.1,0.2711
13,7.14,Nutrients added,26.6,0.1246,0.9,0.1841
14,7.14,Nutrients added,na,na,na,na
15,7.14,Nutrients added,na,na,na,na
16,7.14,Nutrients added,42.2,0.4021,1.1,0.2542
17,7.14,Nutrients added,42.8,0.3124,3.5,0.3836
18,7.14,Nutrients added,7.3,0.2228,2.1,0.214
19,7.14,Nutrients added,39.2,0.2232,3.2,0.2493
20,7.14,Nutrients added,34.5,0.2623,2.2,0.3056
21,7.14,Nutrients added,50.4,0.3609,2.8,0.2202
22,7.14,Nutrients added,19,0.0486,0.4,0.1816
23,7.14,Nutrients added,na,na,na,na
24,7.14,Nutrients added,na,na,na,na
25,7.14,Nutrients added,na,na,na,na
1,7.29,Nutrients added,39.8,0.2966,2.7,0.3288
2,7.29,Nutrients added,52.2,0.3204,1,0.3357
3,7.29,Nutrients added,52.6,0.4344,3.7,0.4338
4,7.29,Nutrients added,47.2,0.2345,0.5,0.1893
5,7.29,Nutrients added,55.3,0.3555,0.6,0.3883
6,7.29,Nutrients added,59.3,0.4372,0.7,0.3614
7,7.29,Nutrients added,30.6,0.3572,0.9,0.2981
8,7.29,Nutrients added,39.3,0.4173,3,0.3397
9,7.29,Nutrients added,52.5,0.3975,2.4,0.305
10,7.29,Nutrients added,44.5,0.2522,0.9,0.3114
11,7.29,Nutrients added,49.5,0.3933,4,0.4361
12,7.29,Nutrients added,45.6,0.3235,2.3,0.2891
13,7.29,Nutrients added,na,na,na,na
14,7.29,Nutrients added,43.9,0.3924,2.1,0.2727
15,7.29,Nutrients added,48.8,0.2604,0.7,0.279
16,7.29,Nutrients added,41.6,0.2778,3.4,0.2541
17,7.29,Nutrients added,na,na,-7,na
18,7.29,Nutrients added,49.5,0.3382,2.1,0.3066
19,7.29,Nutrients added,50.6,0.3374,4.8,0.4018
20,7.29,Nutrients added,45.2,0.2786,2.1,0.2269
21,7.29,Nutrients added,na,na,na,na
22,7.29,Nutrients added,na,na,na,na
23,7.29,Nutrients added,na,na,na,na
24,7.29,Nutrients added,48.2,0.7202,0,0.3273
25,7.29,Nutrients added,na,na,na,na
1,7.43,Nutrients added,51.6,0.3415,1.1,0.2691
2,7.43,Nutrients added,44.6,0.3382,7,0.6319
3,7.43,Nutrients added,42,0.1522,11.4,0.1847
